NRO;CAP_;CDL;CAT_;PREP_;LOGRADOURO;LOTE;REFERENCIA;PASSEIO;AREA_AZUL;OBSERVACAO;AV_STATUS;AV_SCORE;AV_SIDE;LATITUDE;LONGITUDE
905;2;8078032;R;;MARIANTE;831;;x;;;M;100;R;-30,03536464;-51,20420847
906;2;8078032;R;;MARIANTE;759;;x;;;M;100;R;-30,03468654;-51,20420865
907;2;8078032;R;;MARIANTE;691;;x;;;M;100;R;-30,03404611;-51,20420882
908;2;7977168;R;;CABRAL;349;Lado oposto 348;x;;;M;100;R;-30,03377486;-51,20459707
909;2;8078032;R;;MARIANTE;627;;x;;;M;100;R;-30,03344393;-51,20422697
910;2;8077091;R;;SAO MANOEL;72;;;;;M;100;L;-30,03439243;-51,20489048
911;2;8077091;R;;SAO MANOEL;156;;;;;M;100;L;-30,03520139;-51,20489051
912;2;8077091;R;;SAO MANOEL;270;;;;;M;100;L;-30,03627332;-51,20489331
913;2;8077091;R;;SAO MANOEL;330;;;;;M;100;L;-30,03686708;-51,20489636
914;2;8078024;R;;MIGUEL TOSTES;976;;;;;M;100;L;-30,03705719;-51,20569116
915;2;8078024;R;;MIGUEL TOSTES;896;;;;;M;100;L;-30,03626053;-51,20569528
916;2;8078024;R;;MIGUEL TOSTES;796;;;;;M;100;L;-30,03526469;-51,20570043
917;2;8078024;R;;MIGUEL TOSTES;706;;;;;M;100;L;-30,03436844;-51,20570507
918;2;7977168;R;;CABRAL;281;;;;;M;100;R;-30,03357835;-51,20560941
919;2;8078024;R;;MIGUEL TOSTES;575;;;;;M;100;R;-30,03335857;-51,20579452
920;2;7977168;R;;CABRAL;180;;;;;M;100;L;-30,03337831;-51,20628305
921;2;8077026;R;;GIORDANO BRUNO;37;;;;;M;100;R;-30,03377701;-51,20659595
922;2;8077026;R;;GIORDANO BRUNO;83;;;;;M;100;R;-30,03424751;-51,20659545
923;2;7977119;R;;CESAR LOMBROSO;125;;;;;M;100;R;-30,03519834;-51,2072836
924;2;8077026;R;;GIORDANO BRUNO;245;;;;;M;100;R;-30,03554217;-51,20659152
925;2;8077018;R;;FRANCISCO FERRER;396;;;x;;M;100;L;-30,03588384;-51,20725905
926;2;7977119;R;;CESAR LOMBROSO;41;;;;;M;100;R;-30,03519993;-51,2078235
927;2;8077018;R;;FRANCISCO FERRER;268;;;;;M;100;L;-30,03487797;-51,20726591
928;2;8077018;R;;FRANCISCO FERRER;186;Ao lado 176;;;;M;100;L;-30,03396577;-51,20727976
929;2;7977168;R;;CABRAL;100;;;;;M;100;L;-30,03316802;-51,20738821
930;2;7977150;R;;VASCO DA GAMA;488;;;;;M;100;L;-30,03209917;-51,20723884
931;2;8077018;R;;FRANCISCO FERRER;31;;;;;M;100;R;-30,03267972;-51,20725371
932;2;7977150;R;;VASCO DA GAMA;586;;;;;M;100;L;-30,03235655;-51,20598032
933;2;7977150;R;;VASCO DA GAMA;644;;;;;M;100;L;-30,03250573;-51,20524942
934;2;7977150;R;;VASCO DA GAMA;760;;;;;M;100;L;-30,0329586;-51,20299474
935;2;8077042;R;;LIBERDADE;108;;;;;M;100;L;-30,03314198;-51,20437455
