EndereÃ§o;Complemento;Cidade;Estado;CÃ³digoPostal;Name;Telefone;Bairro;RegiÃ£o OP;URL;Tipo;Categoria;Latitude;Longitude;EndereÃ§o Formatado
Av. Borges de Medeiros, 1501; TÃ©rreo;Porto Alegre;RS;90020-024;Instituto GaÃºcho de TradiÃ§Ã£o e Folclore;(51)3228-1764;Centro Historico;CENTRO;http://www.igtf.rs.gov.br/;ESPAÃ‡O DE FORMAÃ‡ÃƒO CULTURAL;arquivo, tradicionalismo;-30,037096974408;-51,228211317827;Av. Borges de Medeiros, 1501 Porto Alegre, RS 90020-024
Av. Borges de Medeiros, 1945;;Porto Alegre;RS;90110-150;Teatro do IPE;(51)3221-8799;Praia de Belas;CENTRO;www.ipe.rs.gov.br;ESPAÃ‡O CULTURAL;;-30,043092182694;-51,22888199371;Av. Borges de Medeiros, 1945 Porto Alegre, RS 90110-150
Av. Borges de Medeiros, 1945; 3Âº andar;Porto Alegre;RS;90110-150;Museu PrevidenciÃ¡rio Flores da Cunha;(51)3210-5851;Praia de Belas;CENTRO;;ESPAÃ‡O CULTURAL;;-30,043093793959;-51,228876782571;Av. Borges de Medeiros, 1945 Porto Alegre, RS 90110-150
Av. Borges de Medeiros, 659; 14Âº andar;Porto Alegre;RS;90020-022;AGERGS Agencia Estadual de RegulaÃ§Ã£o dos ServiÃ§os PÃºblicos Delegados do Rio Grande do Sul;5 32888827;Centro Historico;CENTRO;http://www.agergs.rs.gov.br;ESPAÃ‡O DE FORMAÃ‡ÃƒO CULTURAL;arquivo;-30,031536645431;-51,227811635872;Avenida Borges de Medeiros, 659 - Centro, Porto Alegre - RS, 90020-022, RepÃºblica Federativa do Brasil
Av. Borges de Medeiros, 835;;Porto Alegre;RS;90020-024;Teatro de Arena;(51)3226-0242;Centro Historico;CENTRO;http://www.teatrodearena.com/;ESPAÃ‡O CULTURAL;;-30,032367680973;-51,227852561444;Av. Borges de Medeiros, 835 Porto Alegre, RS 90020-024
Av. Borges de Medeiros, 835;;Porto Alegre;RS;90020-024;EspaÃ§o SÃ´nia Duro  Teatro de Arena;(51)3226-0242;Centro Historico;CENTRO;http://www.teatrodearena.com/;ESPAÃ‡O DE FORMAÃ‡ÃƒO CULTURAL;arquivo;-30,032364702453;-51,227851334651;Av. Borges de Medeiros, 835 Porto Alegre, RS 90020-024
Av. Brasil, 483;;Porto Alegre;RS;90230-060;Biblioteca PÃºblica do Sesc;(51)3342-5099;Navegantes;HUMAITA/NAVEGANTES;http://www.sesc-rs.com.br/educacao/biblioteca/index.htm;ESPAÃ‡O DE FORMAÃ‡ÃƒO CULTURAL;livro, leitura;-30,004736270898;-51,202521585395;Av. Brasil, 483 Porto Alegre, RS 90230-060
Av. Carlos Gomes, 1610;;Porto Alegre;RS;90480-002;Gloria Corbetta Com de Objeto de Arte;(51)3328-7586;Tres Figueiras;LESTE;www.gloriacorbetta.com.br;ESPAÃ‡O CULTURAL;;-30,034820615188;-51,177314732664;Av. Carlos Gomes, 1610 Porto Alegre, RS 90480-002
Av. Carlos Gomes, 2120;;Porto Alegre;RS;90480-002;Jornalista Roberto Eduardo Xavier SMAM;(51)3289-7519;Tres Figueiras;LESTE;http://www2.portoalegre.rs.gov.br/smam/default.php?p_secao=206;ESPAÃ‡O DE FORMAÃ‡ÃƒO CULTURAL;livro, leitura, audio visual, arquivo;-30,03738117908;-51,173946078585;Avenida Carlos Gomes, 2120 - TrÃªs Figueiras, Porto Alegre - RS, RepÃºblica Federativa do Brasil
Av. Cel. Lucas de Oliveira, 894;;Porto Alegre;RS;90440-011;Escola de MÃºsica Tio Zequinha;(51)3332-9531;Boa Vista;NOROESTE;;ESPAÃ‡O DE FORMAÃ‡ÃƒO CULTURAL;mÃºsica;-30,030238726816;-51,19446879177;Av. Cel. Lucas de Oliveira, 894 Porto Alegre, RS 90440-011
Av. Coronel Lucas de Oliveira, 21;;Porto Alegre;RS;90440-010;Gestual;(51)3330-9673;Auxiliadora;CENTRO;http://www.gestual.com.br/;ESPAÃ‡O CULTURAL;artes visuais, fotografia;-30,022555844194;-51,195370261522;Av. Coronel Lucas de Oliveira, 21 Porto Alegre, RS 90440-010
Av. Coronel Lucas de Oliveira, 432;;Porto Alegre;RS;90440-011;Galeria Nieto;(51)3330-8407;Mont Serrat;CENTRO;http://www.nieto.art.br/;ESPAÃ‡O CULTURAL;;-30,0261999319;-51,194887657238;Av. Coronel Lucas de Oliveira, 432 Porto Alegre, RS 90440-011
Av. Coronel Lucas de Oliveira, 995; 2Âº Andar;Porto Alegre;RS;90440-010;Davera Arte & Cultura;(51)3222-0816;Bela Vista;CENTRO;http://www.davera.com.br/;ESPAÃ‡O CULTURAL;;-30,031150234336;-51,194487614315;Avenida Coronel Lucas de Oliveira, 995 - Bela Vista, Porto Alegre - RS, 90440-010, RepÃºblica Federativa do Brasil
Av. CristÃ³vÃ£o Colombo, 400;;Porto Alegre;RS;90560-003;Teatro Escola de Porto Alegre-Tepa;(51)3221-7778;Floresta;CENTRO;http://www.tepa.com.br/;ESPAÃ‡O CULTURAL;;-30,026180030809;-51,213621882369;Av. CristÃ³vÃ£o Colombo, 400 Porto Alegre, RS 90560-003
Av. CristovÃ£o Colombo, 545;;Porto Alegre;RS;90560-000;CineSystem Shopping Total;(51)3299-0339;Floresta;CENTRO;http://www.cinesystem.com.br;ESPAÃ‡O DE FORMAÃ‡ÃƒO CULTURAL;;-30,02535776563;-51,212319524576;Av. CristovÃ£o Colombo, 545 Porto Alegre, RS 90560-000
Av. CristÃ³vÃ£o Colombo, 545;;Porto Alegre;RS;90560-000;Museu do Esporte;(51)3018-7765;Floresta;CENTRO;www.museudoesporte.esp.br;ESPAÃ‡O CULTURAL;;-30,025359022068;-51,212319288148;Av. CristÃ³vÃ£o Colombo, 545 Porto Alegre, RS 90560-000
Av. CristÃ³vÃ£o Colombo, 772;;Porto Alegre;RS;90560-003;Cine Theatro Ypiranga;(51)3286-2408;Floresta;CENTRO;http://www.cinetheatro.com.br/;ESPAÃ‡O CULTURAL;;-30,024019135235;-51,210592624474;Av. CristÃ³vÃ£o Colombo, 772 Porto Alegre, RS 90560-003
Av. Desembargador AndrÃ© da Rocha, 50;;Porto Alegre;RS;90050-161;Escola de MÃºsica da OSPA;(51)3228-6737;Centro Historico;CENTRO;;ESPAÃ‡O DE FORMAÃ‡ÃƒO CULTURAL;;-30,03286651874;-51,223532960318;Av. Desembargador AndrÃ© da Rocha, 50 Porto Alegre, RS 90050-161
Av. DiÃ¡rio de NotÃ­cias, 300;;Porto Alegre;RS;90810-080;Cinemark Barra Shopping Sul;(51)4003-4171;Cristal;CRISTAL;http://www.cinemark.com.br;ESPAÃ‡O DE FORMAÃ‡ÃƒO CULTURAL;;-30,08364951026;-51,246968900493;Av. DiÃ¡rio de NotÃ­cias, 300 Porto Alegre, RS 90810-080
Av. Dolores Alcaraz Caldas, 90;;Porto Alegre;RS;90110-180;MemÃ³ria Ipiranga;(51)3216-4184;Praia de Belas;CENTRO;;ESPAÃ‡O CULTURAL;;-30,045699055288;-51,230042657788;Av. Dolores Alcaraz Caldas, 90 Porto Alegre, RS 90110-180
Av. Edvaldo Pereira Paiva, sn;;Porto Alegre;RS;90110-060;Anfiteatro PÃ´r-do-Sol ;(51)3228-4298;Praia de Belas;CENTRO;http://www.portoalegre.tur.br/ponto_turistico/anfiteatro_por-do-sol-porto_alegre-21-2-16-62.html;ESPAÃ‡O CULTURAL;;-30,056064050618;-51,233071413371;Rio Grande do Sul, 90110-060, RepÃºblica Federativa do Brasil
Av. Erico Verissimo, 307;;Porto Alegre;RS;90160-181;Centro Municipal de Cultura, Arte e Lazer LupicÃ­nio Rodrigues ;(51)3289-8050;Menino Deus;CENTRO;http://www2.portoalegre.rs.gov.br/smc/default.php?reg=6&p_secao=19;ESPAÃ‡O CULTURAL;;-30,047862390916;-51,218456858072;Av. Erico Verissimo, 307 Porto Alegre, RS 90160-181
Av. Erico Verissimo, 307;;Porto Alegre;RS;90160-181;Teatro RenascenÃ§a;(51)3289-8066;Menino Deus;CENTRO;http://www2.portoalegre.rs.gov.br/smc/default.php?reg=6&p_secao=19;ESPAÃ‡O CULTURAL;;-30,04786603359;-51,21845490048;Av. Erico Verissimo, 307 Porto Alegre, RS 90160-181
Av. Erico Verissimo, 307;;Porto Alegre;RS;90160-181;Biblioteca PÃºblica Municipal JosuÃ© GuimarÃ£es;(51)3289-8079;Menino Deus;CENTRO;http://www2.portoalegre.rs.gov.br/smc/default.php?reg=14&p_secao=55;ESPAÃ‡O CULTURAL;;-30,047861082174;-51,218448708985;Av. Erico Verissimo, 307 Porto Alegre, RS 90160-181
Av. Erico Verissimo, 307;;Porto Alegre;RS;90160-181;SaguÃ£o â€“ EspaÃ§o expositivo;(51)3289-8050;Menino Deus;CENTRO;http://www2.portoalegre.rs.gov.br/smc/default.php?reg=4&p_secao=33;ESPAÃ‡O CULTURAL;;-30,047863642841;-51,218452170633;Av. Erico Verissimo, 307 Porto Alegre, RS 90160-181
Av. Erico Verissimo, 307;;Porto Alegre;RS;90160-181;Galeria EspaÃ§o Alternativo do Atelier Livre;(51)3289-8057;Menino Deus;CENTRO;http://www2.portoalegre.rs.gov.br/smc/default.php?reg=57&p_secao=34;ESPAÃ‡O CULTURAL;;-30,047860282498;-51,218455017623;Av. Erico Verissimo, 307 Porto Alegre, RS 90160-181
Av. Erico Verissimo, 307;;Porto Alegre;RS;90160-181;Centro de DanÃ§a;(51)3289-8065;Menino Deus;CENTRO;;ESPAÃ‡O CULTURAL;;-30,047865846019;-51,218456154199;Av. Erico Verissimo, 307 Porto Alegre, RS 90160-181
Av. Erico Verissimo, 307;;Porto Alegre;RS;90160-181;Editora da Cidade;;Menino Deus;CENTRO;http://www2.portoalegre.rs.gov.br/smc/default.php?p_secao=167;ESPAÃ‡O CULTURAL;;-30,047863993276;-51,21845758043;Av. Erico Verissimo, 307 Porto Alegre, RS 90160-181
Av. Ã‰rico VerÃ­ssimo, 307;;Porto Alegre;RS;90160-180;Sala Ãlvaro Moreyra;(51)3289-8066;Menino Deus;CENTRO;www.portoalegre.rs.gov.br;ESPAÃ‡O CULTURAL;;-30,047861942805;-51,218455691958;Av. Ã‰rico VerÃ­ssimo, 307 Porto Alegre, RS 90160-180
Av. Ã‰rico VerÃ­ssimo, 400;;Porto Alegre;RS;90160-180;EspaÃ§o RBS MemÃ³ria RBS;(51)3218-6480;Azenha;CENTRO;www.rbs.com.br;ESPAÃ‡O CULTURAL;;-30,048947278457;-51,21784521985;Av. Ã‰rico VerÃ­ssimo, 400 Porto Alegre, RS 90160-180
Av. GetÃºlio Vargas, 92; 1Âº Andar;Porto Alegre;RS;90150-002;Ases Escola de MÃºsica;(51)3225-6097;Menino Deus;CENTRO;http://www.myspace.com/grupoases;ESPAÃ‡O DE FORMAÃ‡ÃƒO CULTURAL;mÃºsica ;-30,045060366619;-51,220960284786;Avenida GetÃºlio Vargas, 92 - Menino Deus, Porto Alegre - RS, 90150-002, RepÃºblica Federativa do Brasil
Av. Goethe, 38;;Porto Alegre;RS;90430-100;Auditorium Tasso CorrÃªa, Instituto de Artes, Sala 62, Gabinete 1;(51)3308-4336;Rio Branco;CENTRO;http://www6.ufrgs.br/artes/atc/?p=apresentacao.php;ESPAÃ‡O CULTURAL;;-30,029442862347;-51,201026332682;Av. Goethe, 38 Porto Alegre, RS 90430-100
Av. IndependÃªncia, 270;;Porto Alegre;RS;90020-006;Museu de HistÃ³ria da Medicina do Rio Grande do Sul (MUHM);(51)3029-2900;Centro Historico;CENTRO;http://www.muhm.org.br;ESPAÃ‡O CULTURAL;;-30,029336941883;-51,218543527152;Av. IndependÃªncia, 270 Porto Alegre, RS 90020-006
